country,v_nom,line_type
BO,25.0,"Partridge (25kV)"
BO,44.0,"Penguin (44kV)"
BO,69.0,"Penguin (69kV)"
BO,115.0,"Ibis (115kV)"
BO,230.0,"Rail (230kV)"
BO,500.0,"ACAR 750 y ACAR 1250 (500 kV)"
CO,110.0,"Not specified 100kV"
CO,115.0,"Not specified 115.0"
CO,220.0,"Not specified 220.0"
CO,230.0,"Not specified 230.0"
default,132.0,"243-AL1/39-ST1A 20.0"
default,220.0,"Al/St 240/40 2-bundle 220.0"
default,300.0,"Al/St 240/40 3-bundle 300.0"
default,380.0,"Al/St 240/40 4-bundle 380.0"
default,500.0,"Al/St 240/40 4-bundle 380.0"
default,750.0,"Al/St 560/50 4-bundle 750.0"
